complaint_id,reporter_id,subject_id,date,complaint_type,severity,resolution,days_to_resolve
CMP00465,VF-002610,VF-002077,2026-03-15,BILLING,LOW,Resolved,
CMP00234,VF-002823,VF-004335,2026-03-13,SERVICE,MEDIUM,Rejected,
CMP00402,AGENT-045,VF-001023,2026-01-06,BILLING,LOW,Transferred to Legal,
CMP00017,VF-004904,VF-001717,2026-01-05,SERVICE,CRITICAL,,
CMP00108,AGENT-023,VF-002308,2026-03-21,BILLING,HIGH,,
CMP00382,VF-003031,VF-001024,2026-01-21,BILLING,HIGH,Under Review,
CMP00101,VF-002708,VF-002981,2026-02-12,SERVICE,LOW,Under Review,
CMP00024,AGENT-024,VF-003459,2026-03-02,SERVICE,CRITICAL,Transferred to Legal,
CMP00003,AGENT-006,VF-001378,2026-01-25,BILLING,LOW,Rejected,
CMP00178,VF-002025,VF-000088,2026-03-24,BILLING,CRITICAL,Rejected,
